playerID,AB,H,AVE
arrueer01,41,8,0.1951219512
arundha01,59,11,0.186440678
arundtu01,260,45,0.1730769231
asadora01,55,20,0.3636363636
asbelji01,33,6,0.1818181818
asbjoca01,221,52,0.2352941176
ascanjo01,2,0,0
ascheco01,1238,290,0.2342487884
asencmi01,5,0,0
ashburi01,8365,2574,0.3077106993
ashbyal01,4123,1010,0.2449672569
ashbyan01,521,70,0.1343570058
asheral01,18,3,0.1666666667
ashfotu01,510,111,0.2176470588
ashke01,46,6,0.1304347826
ashlebi01,618,144,0.2330097087
ashlene01,20,2,0.1
asmusto01,5,0,0
asprobo01,4369,1103,0.2524605173
asproke01,1483,369,0.2488199595
asselbr01,574,146,0.2543554007
assenpa01,36,3,0.08333333333
astacez01,21,3,0.1428571429
astacpe01,677,90,0.1329394387
astinba01,1,0,0
astrojo01,1579,401,0.2539582014
astudwi01,93,33,0.3548387097
asuajca01,520,125,0.2403846154
atchisc01,2,0,0
atchlju01,1,0,0
atherch01,242,60,0.2479338843
atherke01,1,0,0
atilalu01,25,1,0.04
atkinal01,387,64,0.165374677
atkinbi01,10,3,0.3
atkined01,8,0,0
atkinga01,2928,835,0.2851775956
atkinja01,5,2,0.4
atkinle01,1,0,0
atkinmi01,2,0,0
atkinto01,19,2,0.1052631579
attredi01,144,31,0.2152777778
atwelto01,1117,290,0.2596239928
atwoobi01,961,220,0.2289281998
atzja01,605,132,0.2181818182
aubreha01,325,69,0.2123076923
aubremi01,135,35,0.2592592593
auderi01,151,34,0.2251655629
auerbri01,1407,309,0.2196162047
augenbr01,4,1,0.25
augusda01,29,6,0.2068965517
aukerel01,700,131,0.1871428571
auldsle01,4,1,0.25
aultdo01,713,168,0.2356241234
aumonph01,1,0,0
aurilri01,5721,1576,0.2754763153
ausmubr01,6279,1579,0.2514731645
austde01,2,0,0
austihe01,101,25,0.2475247525
austije01,8,1,0.125
austiji01,5388,1328,0.2464736451
austiri01,19,2,0.1052631579
austity01,367,85,0.2316076294
autryal01,2,0,0
autrych01,257,50,0.1945525292
autrych02,277,68,0.2454873646
aveliab01,11,3,0.2727272727
avenbr01,609,166,0.2725779967
averiea01,6353,2019,0.3178026129
averiea02,1031,249,0.2415130941
averyst01,437,76,0.1739130435
averyxa01,94,21,0.2234042553
avilaal01,2758,654,0.2371283539
avilabo01,4620,1296,0.2805194805
avilalu01,7,1,0.1428571429
avilemi01,3009,786,0.2612163509
avilera01,190,51,0.2684210526
avreaja01,2,0,0
axelrdy01,8,1,0.125
axforjo01,1,0,0
ayalabe01,865,217,0.250867052
ayalabo01,31,2,0.06451612903
ayalalu01,14,4,0.2857142857
aybarer01,5175,1402,0.2709178744
aybarma01,70,13,0.1857142857
aybarwi01,1219,315,0.2584085316
aydelja01,50,5,0.1
ayersbi01,8,2,0.25
ayersdo01,420,72,0.1714285714
aylwadi01,3,0,0
ayraubo01,2,0,0
ayraujo01,5,1,0.2
azcuejo01,2828,712,0.2517680339
azocaos01,439,99,0.2255125285
babbch01,1180,287,0.243220339
babelo01,382,85,0.222513089
babicjo01,211,36,0.1706161137
babinch01,33,8,0.2424242424
babitsh01,156,40,0.2564102564
backebr01,133,34,0.2556390977
backmle01,74,8,0.1081081081
backmwa01,3245,893,0.275192604
baconed01,6,3,0.5
bacsimi02,50,5,0.1
baczefr01,89,12,0.1348314607
badenbu01,33,3,0.09090909091
baderar01,3,0,0
baderha01,464,120,0.2586206897
baderlo01,22,4,0.1818181818
badgrre01,382,98,0.2565445026
baeched01,42,8,0.1904761905
baekch01,30,5,0.1666666667
baergca01,5439,1583,0.2910461482
baezbe01,1,0,0
baezda01,6,1,0.1666666667
baezja01,1785,477,0.2672268908
baezjo01,355,87,0.2450704225
baezke01,151,27,0.178807947
baezpe01,6,0,0
bagbyji01,660,144,0.2181818182
bagbyji02,620,140,0.2258064516
bagwebi01,143,42,0.2937062937
bagweje01,7797,2314,0.2967808131
bahnsst01,479,56,0.1169102296
bahred01,68,10,0.1470588235
bahrefr01,8,0,0
baichgr01,1,0,0
bailebi01,366,71,0.193989071
bailebi02,9,1,0.1111111111
bailebo01,6082,1564,0.2571522525
baileco01,2,1,0.5
baileed01,3581,915,0.2555152192
bailefr01,124,23,0.185483871
bailege01,634,156,0.2460567823
baileha01,43,10,0.2325581395
baileho02,368,59,0.160326087
baileje01,136,31,0.2279411765
baileji01,3,0,0
baileki01,4,2,0.5
bailema01,949,209,0.220231823
bailero01,97,20,0.206185567
bailest01,10,0,0
bailesw01,30,8,0.2666666667
bailobo01,2937,775,0.2638747021
baineha01,9908,2866,0.2892612031
bainlo01,3,1,0.3333333333
bairdal01,107,27,0.2523364486
bairdbo01,6,1,0.1666666667
bairddo01,2106,492,0.2336182336
